UF;Município;Regiao;Sigla;Status Jurídico;Grau;Conceito;País 
AL;MACEIÓ;NORDESTE;UFAL;FEDERAL;Mestrado;4;Brasil 
AM;MANAUS;NORTE;UFAM;FEDERAL;Mestrado;2;Brasil 
BA;CACHOEIRA;NORDESTE;UFRB;FEDERAL;Mestrado;4;Brasil 
BA;SALVADOR;NORDESTE;UFBA;FEDERAL;Mestrado/Doutorado;5;Brasil 
CE;FORTALEZA;NORDESTE;UECE;ESTADUAL;Mestrado/Doutorado;4;Brasil 
CE;FORTALEZA;NORDESTE;UFC;FEDERAL;Mestrado/Doutorado;5;Brasil 
CE;FORTALEZA;NORDESTE;UFC;FEDERAL;Mestrado Profissional;4;Brasil 
DF;BRASÍLIA;CENTRO-OESTE;UNB;FEDERAL;Mestrado/Doutorado;7;Brasil 
DF;BRASÍLIA;CENTRO-OESTE;UNB;FEDERAL;Mestrado/Doutorado;4;Brasil 
ES;VILA VELHA;SUDESTE;UVV;PARTICULAR;Mestrado;4;Brasil 
ES;VITÓRIA;SUDESTE;UFES;FEDERAL;Mestrado/Doutorado;4;Brasil 
GO;GOIÂNIA;CENTRO-OESTE;UFG;FEDERAL;Mestrado/Doutorado;4;Brasil
MA;IMPERATRIZ;NORDESTE;UFMA;FEDERAL;Mestrado;3;Brasil
MA;SÃO LUÍS;NORDESTE;UFMA;FEDERAL;Mestrado/Doutorado;4;Brasil 
MG;BELO HORIZONTE;SUDESTE;PUC/MG;PARTICULAR;Mestrado/Doutorado;5;Brasil 
MG;BELO HORIZONTE;SUDESTE;UFMG;FEDERAL;Mestrado/Doutorado;6;Brasil 
MG;JUIZ DE FORA;SUDESTE;UFJF;FEDERAL;Mestrado/Doutorado;4;Brasil 
MG;UBERLÂNDIA;SUDESTE;UFU;FEDERAL;Mestrado;3;Brasil
MS;DOURADOS;CENTRO-OESTE;UFGD;FEDERAL;Mestrado;4;Brasil 
MT;CUIABÁ;CENTRO-OESTE;UFMT;FEDERAL;Mestrado;3;Brasil 
PA;BELÉM;NORTE;UFPA;FEDERAL;Mestrado/Doutorado;5;Brasil 
PB;CAMPINA GRANDE;NORDESTE;UFCG;FEDERAL;Mestrado/Doutorado;4;Brasil 
PB;JOÃO PESSOA;NORDESTE;UFPB-JP;FEDERAL;Mestrado/Doutorado;5;Brasil 
PE;RECIFE;NORDESTE;UFPE;FEDERAL;Mestrado/Doutorado;5;Brasil 
PI;TERESINA;NORDESTE;FUFPI;FEDERAL;Mestrado;3;Brasil 
PR;CURITIBA;SUL;UFPR;FEDERAL;Mestrado/Doutorado;5;Brasil 
PR;LONDRINA;SUL;UEL;ESTADUAL;Mestrado/Doutorado;4;Brasil 
PR;MARINGÁ;SUL;UEM;ESTADUAL;Mestrado;4;Brasil 
RJ;CAMPOS DOS GOYTACAZES;SUDESTE;UENF;ESTADUAL;Mestrado/Doutorado;5;Brasil 
RJ;NITERÓI;SUDESTE;UFF;FEDERAL;Mestrado/Doutorado;4;Brasil 
RJ;RIO DE JANEIRO;SUDESTE;PUC-RIO;PARTICULAR;Mestrado/Doutorado;5;Brasil 
RJ;RIO DE JANEIRO;SUDESTE;UCAM;PARTICULAR;Mestrado;4;Brasil 
RJ;RIO DE JANEIRO;SUDESTE;UERJ;ESTADUAL;Mestrado/Doutorado;4;Brasil 
RJ;RIO DE JANEIRO;SUDESTE;UERJ;ESTADUAL;Mestrado/Doutorado;7;Brasil 
RJ;RIO DE JANEIRO;SUDESTE;UFRJ;FEDERAL;Mestrado/Doutorado;7;Brasil 
RJ;SEROPÉDICA;SUDESTE;UFRRJ;FEDERAL;Mestrado/Doutorado;5;Brasil 
RJ;SEROPÉDICA;SUDESTE;UFRRJ;FEDERAL;Mestrado/Doutorado;4;Brasil 
RN;NATAL;NORDESTE;UFRN;FEDERAL;Mestrado/Doutorado;4;Brasil 
RS;PELOTAS;SUL;UFPEL;FEDERAL;Mestrado/Doutorado;5;Brasil 
RS;PORTO ALEGRE;SUL;PUC/RS;PARTICULAR;Mestrado/Doutorado;6;Brasil 
RS;PORTO ALEGRE;SUL;UFRGS;FEDERAL;Mestrado/Doutorado;7;Brasil 
RS;SANTA MARIA;SUL;UFSM;FEDERAL;Mestrado/Doutorado;4;Brasil 
RS;SÃO LEOPOLDO;SUL;UNISINOS;PARTICULAR;Mestrado/Doutorado;5;Brasil 
SC;FLORIANÓPOLIS;SUL;UFSC;FEDERAL;Mestrado/Doutorado;5;Brasil 
SE;SÃO CRISTÓVÃO;NORDESTE;UFS;FEDERAL;Mestrado/Doutorado;5;Brasil 
SP;ARARAQUARA;SUDESTE;UNESP-ARAR;ESTADUAL;Mestrado/Doutorado;4;Brasil 
SP;CAMPINAS;SUDESTE;UNICAMP;ESTADUAL;Mestrado/Doutorado;6;Brasil 
SP;CAMPINAS;SUDESTE;UNICAMP;ESTADUAL;Doutorado;5;Brasil 
SP;GUARULHOS;SUDESTE;UNIFESP;FEDERAL;Mestrado/Doutorado;4;Brasil
SP;MARÍLIA;SUDESTE;UNESP-MAR;ESTADUAL;Mestrado/Doutorado;4;Brasil 
SP;SÃO CARLOS;SUDESTE;UFSCAR;FEDERAL;Mestrado/Doutorado;6;Brasil 
SP;SÃO PAULO;SUDESTE;PUC/SP;PARTICULAR;Mestrado/Doutorado;3;Brasil 
SP;SÃO PAULO;SUDESTE;USP;ESTADUAL;Mestrado/Doutorado;6;Brasil 
